"","n"
"Version",36685
"License",36675
"Author",36665
"Package",36472
"Description",36470
"Maintainer",36384
"Title",36367
"Packaged",33993
"Date",32164
"Depends",31276
"Repository",23732
"Date/Publication",23732
"URL",17209
"Suggests",13764
"Type",13527
"LazyLoad",12332
"Imports",5533
"LazyData",5050
"NeedsCompilation",3336
"Collate",2822
"SystemRequirements",2373
"Encoding",2194
"Repository/R-Forge/Project",1808
"Repository/R-Forge/Revision",1806
"Authors@R",1284
"Enhances",1069
"Priority",881
"ZipData",851
"LinkingTo",824
"BugReports",627
"SaveImage",454
"Copyright",432
"biocViews",387
"ByteCompile",380
"Repository/R-Forge/DateTimeStamp",342
"Revision",294
"NOTE",251
"Note",235
"OS_type",234
"Bundle",213
"Contains",213
"BundleDescription",213
"BuildVignettes",191
"Author@R",129
"Classification/ACM",119
"LastChangedDate",99
"LastChangedRevision",99
"Models",96
"Classification/MSC",95
"X-CRAN-Comment",88
"LazyDataNote",87
"Lazyload",81
"Extends",81
"DevelURL",76
"Requires",69
"PatchURL",68
"VignetteBuilder",67
"MailingList",65
"LazyDataCompression",65
"LicenseDetails",65
"Acknowledgements",54
"SVNRevision",53
"BuildResaveData",52
"DependsSplus",52
"Keywords",49
"X-CRAN-Original-Maintainer",49
"RcppModules",47
"Contact",47
"Limitations",39
"Check",39
"Url",37
"License_restricts_use",36
"RequiredLauncherGeneration",36
"Classification/JEL",36
"Namespace",36
"Suggest",33
"Recommends",33
"http",32
"Log-Exceptions",32
"References",28
"Dialect",28
"Webpage",26
"Address",25
"Publication/Date",23
"X-CRAN-Original-Package",22
"Saveimage",22
"Acknowledgement",21
"Reference",21
"date",21
"Authors",20
"Dependencies",20
"Classification",20
"DateNote",19
"Contributors",15
"ChangeLog",13
"SystemRequirement",13
"RcmdrModels",12
"Lazydata",11
"URLs",11
"Headshot",11
"SUGGESTS",10
"ContribURL",10
"Forums",10
"Licence",10
"In views",9
"SuggestNotes",9
"encoding",9
"LinkingdTo",8
"Citation",8
"MinimumLibProtoVersion",8
"Keyword",8
"HowToCite",8
"Scientists",8
"BorkSummary",8
"Language",7
"lazyload",7
"X-CRAN-Original-OS_type",7
"SuggestsComments",7
"Cite",7
"AAURL",7
"SVN-Revision",7
"Encoding ",6
"SystemReqsNotes",6
"SVNrev",6
"LastChanged",6
"BuildManual",6
"Adress",6
"Data",5
"KeepSource",5
"Published",5
"Biarch",5
"xxxLazyLoad",5
"Build-dep",4
"NoNamespace",4
"Depents",4
"%Suggests",4
"Require",4
"number of statistics",4
"Build-depends",4
"Vignette",4
"BioViews",3
"lazy-loading",3
"License_is_FOSS",3
"notyetImports",3
"Affiliations",3
"OriginalMaintainer",3
"(http",3
"Dependes",3
"MinimumSvnRev",3
"Co-author",3
"Versionnote",3
"SuggestComments",3
"Respository",3
"url",3
"ImportNote",3
"Suggets",3
"Acknowledgments",3
"DependsTERR",3
"Project",3
"Literature",2
"Contributor",2
"X-CRAN-Original-SystemRequirements",2
"Import",2
"DLazyLoad",2
"Acknowledgment",2
"Publication",2
"encodign",2
"ReleaseDate",2
"SuggestsNote",2
"VersionSplus",2
"MaintainerSplus",2
"Disclaimer",2
"BioCViews",2
"#LazyData",2
"methods",2
"iURL",2
"Github URL",2
"Notes",2
"OS_ype",1
"Depends ",1
"Thanks",1
"%Depends",1
"RTisean",1
"Reverse depends",1
"Depens",1
"Developpers",1
"Contributed datasets from",1
"lastDate",1
"ate/Publication",1
"X-CRAN-Original-LazyDataCompression",1
"Enhanves",1
"BuildKeepEmpty",1
"Discussion",1
"#Imports",1
"Reference Manual",1
"Special Acknowledgement",1
"suggests",1
"NOTI",1
"Dependz",1
"SystemRequirements ",1
"Bugs and Issues",1
"Bug reports",1
"Datalist",1
"Company",1
"Mantainer",1
"Optional",1
"ate",1
